,,,,,,"니지카가 되기 위한
DK 연습곡 모음",,,,,,"저bpm : ~ 159 bpm (허벅지 힘만으로도 밟을 수 있는 정도)
중bpm : 160~189 bpm (발목+허벅지 힘으로 밟기)
고bpm : 190 ~ bpm (발목 힘으로 밟아야 됨)

고bpm 부터는 추천도 상관없이 분류",,,,,,,,,"※ 추천도 분류 기준 ※

추천도 높음 : 역사가 깊은 DK 연습곡
추천도 중간 : 처리력이 요구되는 DK, 중~고렙
추천도 낮음 : 조금 난해한 DK 패턴, 초고렙",,,,,,작성에 참고한 영상,,
,,,,,,"※ 최근 업데이트 : 2025-04-15
업데이트한 곡은 파란색으로 강조",,,,,,※ DK 연습할때는 콤보보다 판정 신경쓰기!!!,,,,,,,,,,,,,,,"https://youtu.be/jg3z0bzMD_U?si=8kQ0mPyRC5UANwJ0

https://youtu.be/-_Nf9tTUSiQ",,
,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,추천도 높음 (무조건 해야됨),,,,,,,,,,추천도 중간,,,,,,,,,,추천도 낮음,,,,,,,,
,DK BPM,곡 BPM,자켓,이름,버전,난이도,레벨,DX 해금곡,비고,,환산 BPM,곡 BPM,자켓,이름,버전,난이도,레벨,DX 해금곡,비고,,환산 BPM,곡 BPM,자켓,이름,버전,난이도,레벨,DX 해금곡,비고
,90,180,,BLOOD RED,Matixx,MAS,7.55,DX 해금곡,"뚜벅이 수준인데

DK가 처음이라면
일단 이거부터
해보셈

(달성률 90% 목표로)",,"100
(200)",200,,Aftermath,HIGH-VOLTAGE,MAS,8.30,,"100 BPM 뚜벅이
사이에 200 BPM
DK 나옴, 변박 연습하기 좋음",,123,123,,XIII,Matixx,MAS,9.55,"DX
해금곡","손이 개빡셈
DK+6연음 연습용"
,92.5,185,,夕星の芒野と消ゆ,Tri-Boost,MAS,7.45,,,,110,220,,Ascetic,XG,EXT,8.75,,"스네어 심벌 엇박 DK
+
110BPM DK

손 어려우면 EXT로
넘어가면 됨",,124,124,,ノルエピネフリン,Matixx,MAS,9.20,"DX
해금곡",좀 더럽게 힘듦
,95,190,,お米の美味しい炊き方、そしてお米を食べることによるその効果。,GITADORA,ADV,6.20,,,,,,,Ascetic,XG,MAS,9.05,,,,125,125,,Cinnamon,Matixx,EXT,8.75,DX 해금곡,"왼발 스타트 DK
엇박이라서
박자가 헷갈림"
,100,200,,狂鬼村正,Tri-Boost,EXT,6.85,,,,117.75,157,,打打打打打打打打打打,GALAXY WAVE,MAS,8.40,,12비트 DK,,134,134,,幸せの代償,EXCHAIN,MAS,9.35,DX 해금곡,
,110,220,,Jasper,GITADORA,EXT,8.45,,"DK 이외의 패턴이
조금 어려움",,120,240,,Fire in my heart,Tri-Boost,MAS,7.40,,"S. LAUNCHER
보다 손이 살짝
바쁜듯?",,134,134,,Anathema,Tri-Boost,EXT,9.45,,4연킥 있음
,116,116,,War evasion,OverDrive,EXT,7.30,,,,124,"118
~
124",,水面静かに大地の烈日わたらせて,Tri-Boost,EXT,8.45,,손이 살짝 어려움,,134,134,,グリーンリーフ症候群,EXCHAIN,MAS,9.40,,"3/4 박자
주로 왼발곡임"
,120,120,,S. LAUNCHER,GITADORA,EXT,8.10,,"손이 되는 DK 초보자는 여기서부터
시작해도 됨",,128,128,,Skyphobia,Tri-Boost,EXT,8.10,,손 패턴 박자가 이상하니 박자 잘 세야됨,,135,135,,紫電一閃,Matixx,MAS,9.15,DX 해금곡,"억지... 같은
패턴이 많음"
,120.75,161,,triangulum,Matixx,ADV,5.95,,"12비트 DK
크로스 유저라면
EXT도 할만함",,130,"120
~
130",,EVIL OGRE,Tri-Boost,EXT,7.80,,"EXT 쉬우면
MAS 채보 ㄱㄱ
(난이도에 쫄 ㄴㄴ)",,136,136,,Around 40,XG2,EXT,9.45,,"왼발 스타트 DK
손이 굉장히 바쁨"
,123,164,,XIII,Matixx,EXT,7.30,"DX
해금곡",12비트 DK,,,,,EVIL OGRE,Tri-Boost,MAS,9.05,,,,140,280,,量子の海のリントヴルム（GITADOROCK Ver.）,GITADORA,EXT,8.55,,살짝 체력곡
,123,246,,Xenocross,HIGH-VOLTAGE,EXT,7.80,DX 해금곡,오른손 굉장히 아픔,,130,130,,MEDUSA,Tri-Boost Re:EVOLVE,MAS,8.60,,중간에 손이 바쁨,,140,140,,Pluvia,EXCHAIN,MAS,9.70,"DX
해금곡","라이드 1개-2개
나오는 DK
EXT도 좋음"
,124,124,,愛という名の花をあなたに,NEX+AGE,MAS,7.40,DX 해금곡,그냥 이거 해,,134,"134
~
201",,ジャガー人間の受難,Tri-Boost,EXT,8.45,,"손이 되면
MAS 채보도 ㄱㄱ",,145,145,,Multiverse,GALAXY WAVE,MAS,9.70,"해금곡
(현재
앙코
르)","곡의 메인박자가
매번 달라짐"
,125,250,,X-Plan,XG2,EXT,8.05,,"그냥 이거 해
※스킬 꿀곡",,135,135,,GIGA BREAK,GITADORA,EXT,8.85,,개박,,,,,,,,,,
,130,"110
~
260",,DEMON SLAYER,Tri-Boost,MAS,8.50,,"그냥 이거 해
※스킬 꿀곡",,136,136,,Predator's Crypto Pt.2,XG3,EXT,8.40,,Pt.1 보단 DK가 덜해서 그냥 패턴 지식 익히는 정도,,146,146,,†闇鍋☆ROCK†,"Tri-Boost
Re:EVOLVE",EXT,7.95,,"박자 잡기
더럽게 힘듦"
,130,130,,Dragon Blade -The Arrange-,EXCHAIN,MAS,8.65,DX 해금곡,,,141,141,,野球の遊び方　そしてその歴史　～決定版～,GITADORA,EXT,8.10,,극후반에 짧게 나오는데 손 패턴이 까다로워서 해볼만함,,,,,†闇鍋☆ROCK†,"Tri-Boost
Re:EVOLVE",MAS,9.30,,
,132.5,265,,DOUBLE IMPACT,XG3,EXT,8.45,,그냥 이거 해,,142,142,,TOGETOGE feat.パンダの流儀,FUZZ-UP,MAS,8.50,"해금곡
(현재
이벤트)","유사 DK
※스킬 꿀곡",,,,,,,,,,
,135,270,,涙のregret,8thMIX,EXT,8.30,,"그냥 이거 해
※스킬 꿀곡",,142,142,,空に触れる,FUZZ-UP,MAS,8.90,,"DK이긴 한데...
쫌 패턴이...",,,,,,,,,,
,135,135,,Unbelief,NEX+AGE,EXT,7.80,,그냥 이거 해,,145,145,,GALAXY WAVE,GALAXY WAVE,MAS,8.80,"해금곡
(현재
이벤트)","DK 밟으면서
탐돌이 어려움",,,,,,,,,,
,136,136,,Predator's Crypto Pt.1,XG3,EXT,7.95,,그냥 이거 해,,148,148,,SPRING BAZOOKA,GITADORA,MAS,9.25,,손이 광장히 바쁨,,,,,,,,,,
,"138
(207)",276,,HYPER JET WIND,GALAXY WAVE,MAS,9.00,,"곡 후반까지 138 4박자 DK
최후반에 207 3박자 DK",,148,148,,葬送のエウロパ,Tri-Boost,MAS,9.30,DX 해금곡,"어느정도
DK가 안정되면
하는걸 추천",,,,,,,,,,
,138.5,277,,HYDRA,OverDrive,EXT,8.05,,그냥 이거 해,,150,"150
~
200",,CHIMERA,V5,MAS,7.75,,LONG 곡,,,,,,,,,,
,145,145,,百鬼夜行,XG2,BSC,7.50,,그냥 이거 해,,150,156,,Danse Macabre,HIGH-VOLTAGE,EXT,8.00,DX 해금곡,"어느정도
익숙해지면
MAS도 ㄱㄱ",,,,,,,,,,
,145,"145
~
190",,DAWN,XG2,ADV,7.00,,,,150,150,,Kilonova,HIGH-VOLTAGE,MAS,8.60,"해금곡
(현재
이벤트)","후살 손패턴이
이상해서
패턴 공부용으로...",,,,,,,,,,
,150,150,,かつて描いた夢は、今も色褪せぬまま。,EXCHAIN,EXT,7.85,DX 해금곡,"오른발 체력 소모
심한 상태로
후반 패턴에 나옴",,"150.75
(105)",210,,POLAR NIGHT,EXCHAIN,EXT,8.50,,"105 BPM 뚜벅이에
24비트 DK 나옴
변박 연습곡",,,,,,,,,,
,150,150,,黒髪乱れし修羅となりて,XG2,EXT,8.10,,"150 BPM 연습곡은
이게 최고인듯",,155,155,,OVERHEAT -Type GD-,GITADORA,MAS,8.45,,,,,,,,,,,,
,150,150,,Riot of Color,XG3,MAS,9.15,,탐돌이 어려움,,157,157,,Imitation Touch,XG,MAS,7.85,,,,,,,,,,,,
,158,158,,Russian Caravan Rhapsody,Tri-Boost,EXT,9.00,,체력곡,,,,,,,,,,,,,,,,,,,,
,▼ 여기서부터 살짝 빡센 고BPM (160 bpm~) ▼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,160,,Shake and Shout!!,XG,MAS,7.70,,,,164,164,,Aion,Matixx,EXT,8.30,,손이 어려움,,160,160,,Rosetta Stone,GITADORA,MAS,9.15,,후반에 길게 나옴
,160,160,,愛と勇気の三度笠ポン太,GITADORA,EXT,8.45,,"유사 DK
※스킬 꿀곡",,165,165,,Hexer,FUZZ-UP,MAS,9.40,"해금곡
(현재
이벤
트)",손이 어려움,,160,160,,Summer '64,OverDrive,MAS,8.60,,"왼발이 많아서
먼저 왼발을 잘하는 게 선행되어야 함"
,162,162,,NEW LEGEND,XG3,EXT,8.60,,그냥 이거 해,,170,170,,弾幕信仰,GALAXY WAVE,MAS,8.80,"해금곡
(현재
이벤트)","후반에 짧게 나옴
뚜벅이도 있어서
복합적으로 연습됨",,160,160,,ミカヅキ:コネクト,Matixx,MAS,9.50,,"중반에 살짝 나옴
다른 패턴이 더 어려움"
,162,162,,Saiph,HIGH-VOLTAGE,EXT,9.10,,체력곡,,170,170,,CALAMITY PHOENIX,XG,MAS,8.95,,"12비트 DK
16비트 DK
둘 다 나옴",,168,168,,恋歌疾風！かるたクイーンいろは,GALAXY WAVE,MAS,9.10,,"후반에 나오는데
나사 빠진 DK임"
,163,163,,BlackCult,FUZZ-UP,MAS,8.20,,"체력곡
(되게 어려움)",,175,175,,拍子迷宮,Tri-Boost Re:EVOLVE,MAS,9.00,,"박자미궁2보다
손이 더 빡셈",,180,180,,Snow Falcon,GALAXY WAVE,MAS,9.00,"해금곡
(현재
이벤트)","탐돌 패턴이
말이 안되게 어려움"
,165,165,,Immortal Bind,V4,EXT,8.15,,,,176,176,,閉塞的フレーション,GALAXY WAVE,MAS,8.10,"해금곡
(현재
이벤트)","풀콤방지 DK인데
연습이 되려나...?",,180,180,,Zero Visibility,GALAXY WAVE,MAS,9.70,"해금곡
(현재
해금이벤트)","DK 하면서
LLRR이 힘듦
중반 막장패턴 조심"
,168,168,,PATRIOT'S DREAM (美しく花と散れ),GITADORA,EXT,8.25,,애 국 자,,180,180,,リドル,EXCHAIN,MAS,8.25,,"짧게짧게 자주 나옴
180 찍먹용으로
해볼만한듯...?",,,,,,,,,,
