 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,『드럼 타워』,,,,,,,,"● 해당 층에서 3/4 이상(6곡)이 S랭크 이상일시 클리어
● 현재 해금할 수 없는 해금곡(DX 해금곡 제외)은 클리어 취급하고 스킵 가능
● 검정색으로 칠한 층은 클리어시 이전 층수를 모두 스킵하고 통과
● 보스곡으로 표시된 악곡은 반드시 S랭크 이상 클리어할 것
(ex. 동칠 타워를 하고 싶으면 20층부터 시작
39층을 하고싶으면 35층부터 시작)

뉴비는 ""★필독/뉴비 팁★"" 시트도 꼭 확인!!!
※ 레벨을 누르면 해당 채보 영상이 뜹니다!",,,,,,,,,,,"패턴
설명",," ① 처리력 : 탐돌리기, 빠른 손속, 헷갈리는 박자, 난해한 노트 구성 등이 난이도의 원인이 되는 악곡입니다.
 ② 왼발곡 : 왼발이 많이 나오거나, 엇박으로 나와서 콤보가 끊어지는게 난이도의 원인이 되는 악곡입니다.
 ③ DK : 노트의 1/3 이상이 투베이스로 나오는 악곡입니다.
 ④ 뚜벅이 : ""처리력"" 악곡 중 번갈아 양발을 밟는 패턴이 빈번하게 나오는 악곡입니다.
 ⑤ 기본기 : 비교적 정직한 패턴이거나, 하이햇or라이드+스네어+킥 위주로만 되어있는 악곡입니다.
 ⑥ 고BPM : BPM이 높으면서 체력적으로 힘든 스트로크를 요구하는 악곡입니다.
 ⑦ 복합 : 위의 항목들을 중복으로 해당한 악곡이며, 어느 항목이라도 실력이 부족하면 S랭크로 클리어하지 못할 수도 있습니다.
 ⑧ 그 외의 항목 : 위의 항목들로는 설명이 안되는 난해한 악곡입니다. (ex. 오른발, 엇박, 체력곡)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"마지막 업데이트
2025-04-14 ver 1.10",,,,,설명 필독! ▶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,초보 타워,,★ DX 해금하는법 : 필독/뉴비팁 참고,,,,,,,,색깔 타워,,,,,,,,,,동색 타워,,,,,,,,,,은색 타워,,,,,,,,,,금색 타워,,,,,,,,,,무지개 타워,,,,,,,,
,,,패턴,자켓,이름,버전,난이도,레벨,DX 해금곡,,,,패턴,자켓,이름,버전,난이도,레벨,DX 해금곡,,,,패턴,자켓,이름,버전,난이도,레벨,DX 해금곡,,,,패턴,자켓,이름,버전,난이도,레벨,DX 해금곡,,,,,자켓,이름,버전,난이도,레벨,DX 해금곡,,,,,자켓,이름,버전,난이도,레벨,DX 해금곡
,3000 ~ 4999 초보자,1F,※ 곡 7개 중 보스곡 포함 5개 S 클리어,,,,,,,,6000 ~ 6499 빨강,16F,처리력,,3 A.M. ディテクティブ・ゲーム,Tri-Boost,MAS,6.95,,,7000 ~ 7399 동칠 초반,31F,처리력,,たたえよ！絶対覇権アリーシャ帝国,EXCHAIN,MAS,8.05,,,7500 ~ 8000 은칠,51F,처리력,,MODEL DD2,6thMIX,ADV,8.20,,,8000 금칠,71F,처리력,,Catch Our Fire!,EXCHAIN,MAS,9.00,,,9000 무지개,91F,처리력,,Terra Car,Tri-Boost,MAS,9.75,
,,,,,テレキャスタービーボーイ,FUZZ-UP,ADV,4.30,,,,,처리력,,Black horizon,8thMIX,ADV,6.80,,,,,처리력,,ゴーイング　マイ　ウェイ！,V5,MAS,7.90,,,,,처리력,,戦場のタクトシュトック,GITADORA,EXT,8.30,,,,,처리력,,虹色の花,GITADORA,EXT,8.75,,,,,처리력,,DESPERATE ERROR,GALAXY WAVE,MAS,9.85,"해금곡
(현재
앙코르)"
,,,,,御伽噺に幕切れを,NEX+AGE,ADV,4.25,,,,,처리력,,一網打尽,V4,ADV,6.80,,,,,왼발곡,,Cherry,OverDrive,EXT,8.00,,,,,처리력,,CYCLONICxSTORM,NEX+AGE,EXT,8.25,DX 해금곡,,,,체력곡,,天庭 おとこのこ編,XG,MAS,8.65,,,,,왼발곡,,Physical Decay,Matixx,MAS,9.50,"DX
해금곡"
,,,,,Hunter～どうしても欲しいもの～,XG,ADV,4.40,,,,,처리력,,"Alternative Tactics, Second Urgent Issue",Tri-Boost,EXT,6.95,,,,,오른발,,うっせぇわ,HIGH-VOLTAGE,MAS,7.70,,,,,"왼발곡
+
DK",,Adverse Criticism,XG2,EXT,8.40,,,,,체력곡,,ソリッド,NEX+GE,MAS,8.60,,,,,왼발곡,,煉獄事変,Matixx,MAS,9.65,"DX
해금곡"
,,,,,ノンフィクションワールド,GITADORA,ADV,4.25,,,,,왼발곡,,君と同じ季節の下,GITADORA,EXT,6.90,,,,,DK,,Predator's Crypto Pt.1,XG3,EXT,7.95,,,,,왼발곡,,モラトリアム,V2,EXT,8.45,,,,,DK,,Arena Deiporta,HIGH-VOLTAGE,MAS,8.80,DX 해금곡,,,,쌈바킥,,猫侍の逆襲,GITADORA,EXT,9.75,
,,,,,Victory!,XG2,ADV,4.55,,,,,셔플,,BLAZE∞BREEZE - WHITE LIE Version -,HIGH-VOLTAGE,MAS,7.00,DX 해금곡,,,,복합,,heliodor,OverDrive,EXT,7.90,,,,,DK,,愛と勇気の三度笠ポン太,GITADORA,EXT,8.45,,,,,처리력,,あたしを○○してください,Tri-Boost,MAS,9.00,,,,,DK,,Obsidian,GITADORA,MAS,9.80,
