,,,,,,,,"재ㅡ즈맨이 되기 위한
왼발 연습곡 모음",,,,,,"※ 엇박(Offbeat)의 정의
기준박 (4박 or 8박) 에서 벗어난 박자

기준박은 악곡에서 주로 다루는 비트를 기준으로 작성했습니다.
(인게임에서 나오는 박자선이 기준입니다!)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"※ 최근 업데이트 : 2025-04-15
업데이트한 곡은 파란색으로 강조",,,,,,"빨간색으로 강조 : 글쓴이 추천곡
파란색으로 강조 : 업데이트 한 곡",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,패턴,자켓,이름,버전,난이도,레벨,DX 해금곡,,패턴,자켓,이름,버전,난이도,레벨,DX 해금곡,,패턴,자켓,이름,버전,난이도,레벨,DX 해금곡,,,,,,,,,,,,,,,,
"왼발
찍먹
(뉴비용)","※ 손ㅡ오른발이 분리가 안된 상태에서
왼발을 밟는 건 당연히 어려운게 정상이므로
무작정 고렙 박치기 느낌으로 하는 것을 추천
(DK와는 다르게 체력보다 박자 감각이 더 중요)",,,,,,,▶,"왼발
찍ㅡ먹",,Snowy India,XG3,ADV,5.65,,▶,"느린
정박 왼발",,ただ君に晴れ,NEX+AGE,MAS,6.35,,,,,,,,,,,,,,,,,
,,,,,,,,,"빠른
정박 왼발
(4비트)",,Lepton,XG2,ADV,5.60,,,"느린 정박
+
뚜벅이",,Under The Nest -Remaster-,Tri-Boost,MAS,6.85,,,"◀ 한 A랭크까지는 띄울 수 있겠다 싶으면
바로 아래 연습곡들 도시면 됩니다!",,,,,,,,,,,,,,
,"~보그라까진 동시밟기로
왼발의 힘을 기르고,

어느정도 처리력을 기른
빨강~ 부터 왼발 4비트 정박,
연습하다 ""왼발 나와도 안쫄림""
수준이 되면 엇박 또는
8비트(칙칙이)로
연습하시는 것을 추천",,,,,,,,"빠른
정박 왼발
(4비트)",,Homesick Pt.2&3,7thMIX,ADV,5.90,,,"갑툭튀
왼발
연습",,LOVE WAR!!,XG3,EXT,6.80,,,,,,,,,,,,,,,,,
,,,,,,,,,"2비트
왼발",,星夢,XG3,EXT,5.90,,,동시밟기,,Let's Dance,EXCHAIN,ADV,5.95,"DX
해금곡",,,,,,,,,,,,,,,,
,,,,,,,,,동시밟기,,箱庭の世界,Tri-Boost,MAS,5.95,,,느린 정박,,The sun shines through rain,7thMIX,MAS,6.45,,,"▽ 여기까지만 연습하고 다른 패턴 왼발곡 연습하거나
패턴 더 하고 싶다면 우측 연습곡 추천",,,,,,,,,,,,,,
"4비트
정박",정박 왼발,,バリバリブギ ～涙のフルーツポンチ～,9thMIX,MAS,6.95,,▶,"빠른
정박 왼발
(4비트)",,Homesick Pt.2&3,7thMIX,EXT,7.35,,▶,"빠른
정박 왼발
(4비트)",,Lepton,XG2,EXT,7.80,,▶,4비트 정박,,Bloom Moment,NEX+AGE,MAS,8.25,,"▶
(선택)","4비트
정박
+
DK",,The Fourth Interval,"Tri-Boost
Re:EVOLVE",MAS,8.50,
,정박 왼발,,青い月,Tri-Boost,MAS,7.00,,,"빠른
정박 왼발
(4비트)",,ROCKET MAN,GITADORA,EXT,7.35,,,"빠른
정박 왼발
(4비트)",,Awaken Ver.G,GITADORA,EXT,7.85,,,"4비트 정박
+
뚜벅이",,And The Dead Ravened For,"Tri-Boost
Re:EVOLVE",MAS,8.30,,,"4비트
정박",,レジスタンス,FUZZ-UP,MAS,8.70,
,정박 왼발,,0時20分のRoulette,GITADORA,EXT,6.80,,,정박 왼발,,めた・メタ?ひまわり*パンチ,Tri-Boost,MAS,7.45,,,"빠른
정박 왼발
(4비트)",,傷だらけの硝子,"Tri-Boost
Re:EVOLVE",MAS,7.90,,,"정박 왼발
+
복합 박자",,Graviton,XG3,MAS,8.40,,,"4비트
정박",,Sky Runner,XG,MAS,9.00,
,정박 왼발,,Same Blue,"GALAXY WAVE
& DELTA",MAS,7.30,,,"정박 왼발
(셔터쾅
조심!!)",,去る金合戦,GITADORA,EXT,7.40,,,"빠른
정박 왼발
(4비트)",,果たし状,OverDrive,EXT,7.95,,,"빠른
정박 왼발
(4비트)",,摩天楼ノ特異点～Anti;HERO,Matixx,MAS,8.30,DX 해금곡,,"빠른
정박 왼발
(4비트)",,HEART BEAT FORMULA (GITADORA Ver.),GITADORA,EXT,8.25,
,"정박 왼발
(+ 엇박)",,一夜のキセキ,Matixx,MAS,7.45,DX 해금곡,,정박 왼발,,クリーンクリーン,XG,EXT,7.55,,,"빠른
정박 왼발
(4비트)",,青春コンプレックス,GALAXY WAVE,MAS,8.00,,,"4비트 정박
+
후반 DK",,Bangin' Breaks,XG2,EXT,8.00,,,,,,,,,
,정박 왼발,,Utopia,8thMIX,EXT,7.50,,,정박 왼발,,マッハマンのテーマ ~ GITADORA Victory Mach Mix ~,FUZZ-UP,MAS,7.50,"해금곡
(현재
해금이벤트)",,정박 왼발,,True Love and Valentines,V4,MAS,8.05,,,,,,,,,,,,,,,,,
,정박 왼발,,LIFE,OverDrive,EXT,7.60,,,"정박 왼발
+
DK 쬐~끔",,SCREW DRIVER,XG3,EXT,7.70,,,"빠른
정박 왼발
(4비트)",,零の位相,Tri-Boost,MAS,7.70,,,정박 왼발,,前髪,XG2,EXT,8.00,,,,,,,,,
"엇박
왼발
(재ㅡ즈)",엇박 왼발,,blue moon,XG2,ADV,6.75,,▶,엇박 왼발,,にゃんだふる55,V,EXT,7.90,,▶,"4비트
엇박",,Grapes,GITADORA,MAS,8.45,,▶,"4비트
엇박
+ 8비트",,THREE WORMS,4thMIX,EXT,8.60,,"▶
(선택)","4비트 엇박
(돌아버린 엇박)",,One Phrase Blues,6thMIX,EXT,8.75,
,엇박 왼발,,にゃんだふる55,V,ADV,6.75,,,"정박 왼발
+
엇박 왼발",,FEEL THE EARTH,5thMIX,MAS,7.95,,,"4비트
엇박",,neko*neko,Tri-Boost,MAS,8.60,,,"4비트
엇박
+ 8비트",,SEA ANEMONES,3rdMIX,EXT,8.60,,,"4비트
엇박",,MU-DAI,V5,MAS,8.95,
,엇박 왼발,,Summer Holiday,XG3,EXT,6.65,,,엇박 왼발,,Cherry,OverDrive,EXT,8.00,,,"4비트
엇박",,blue moon,XG2,EXT,8.65,,,"4비트
엇박",,joker,9thMIX,EXT,8.90,,,"4비트
엇박
(손 바쁨)",,Icicles,V6,EXT,9.05,
,엇박 왼발,,Take My Hand,V2,EXT,7.65,,,엇박 왼발,,七福神,V3,EXT,8.25,,,"4비트
엇박
(9/8 박자)",,ancient breeze,V,EXT,8.40,,,"4비트
엇박",,ミックスナッツ,FUZZ-UP,EXT,8.80,,,,,,,,,
,,,,,,,,,"정박 왼발
+
엇박 왼발",,Rosetta Stone,GITADORA,EXT,8.10,,,"4비트
엇박",,ラブキラ☆スプラッシュ,NEX+AGE,EXT,8.20,,,"4비트
엇박",,HEAVEN'S COCKTAIL,V,EXT,8.85,,,,,,,,,
"8비트
왼발
(칙칙이)","8비트
왼발",,群青と流星,XG3,EXT,8.05,,▶,"8비트
왼발",,ノンフィクションワールド,GITADORA,EXT,7.80,,▶,"8비트
왼발",,gloom,XG2,EXT,8.45,,▶,"8비트
왼발
+
후반 DK",,I can be!!,XG2,EXT,8.65,,"▶
(선택)","으아악
내왼발!!!",,サイレンサイン,Tri-Boost,MAS,8.90,
,"8비트
왼발",,ボクらのトリップデイズ,GITADORA,EXT,7.40,,,"8비트
왼발",,ゆえに愛ソーバッド,EXCHAIN,MAS,7.90,,,"8비트
왼발",,in control,V5,MAS,8.15,,,"8비트
왼발
+
후반 DK",,Genesis Creation Narrative,XG3,EXT,8.85,,,"으아악
내왼발!!!",,九尾狐夜行,OverDrive,MAS,9.20,
,"8비트
왼발",,大好きなぬいぐるみ,Matixx,MAS,7.60,DX 해금곡,,"4&8비트
왼발",,アーリマン,XG3,EXT,7.85,,,"8비트
왼발",,一粒のナミダ,OverDrive,EXT,8.30,,,"8비트
왼발
+
후반 DK",,BLUE BOOTS,GITADORA,EXT,8.90,,,"8비트
왼발
+
약간 DK",,Einherjar,XG,MAS,9.25,
,"8비트
왼발",,サムライハート(Some Like It Hot!!),XG3,EXT,7.15,,,"8비트
왼발",,ヒトリアソビ,V5,MAS,8.40,,,"하이햇
+
4&8비트
왼발",,完全無欠の無重力ダイブ,Tri-Boost,MAS,8.40,,,"8비트
왼발",,Step forward,NEX+AGE,MAS,8.75,,,,,Spiral Wind,,EXT,9.25,
,"8비트
왼발
(미러A)",,MONSTER TREE,10thMIX,EXT,6.30,,,"8비트
왼발",,Sweet feelin',Matixx,MAS,8.40,DX 해금곡,,"8비트
왼발",,イノセントバイブル,NEX+AGE,MAS,8.30,,,"8비트
왼발",,風神雲龍伝,V6,MAS,9.10,,,,,,,,,
,"▲ 몬스터 트리는
미러 A 옵션 걸고 최대한 밟을 수 있는 만큼 밟기",,,,,,,,"8비트
왼발",,夜咄ディセイブ,GITADORA,MAS,8.40,,,"8비트
왼발",,たからもの,XG2,MAS,8.15,,,,,,,,,,,,,,,,,
"동시
밟기",동시밟기,,シュガーソングとビターステップ,EXCHAIN,MAS,7.10,,▶,동시밟기,,未練タラッタ,NEX+AGE,MAS,7.45,,▶,동시밟기,,Sugar Holic Candy Magic,FUZZ-UP,MAS,8.30,,▶,"동시밟기
+
DK",,RISE UP,HIGH-VOLTAGE,MAS,9.20,,,,,,,,,
,동시밟기,,爆裂パニエさん,GALAXY WAVE,MAS,7.10,,,"정박 왼발
+
동시밟기",,宵街アテンション,NEX+AGE,MAS,7.85,,,동시밟기,,DUAL STRIKER,HIGH-VOLTAGE,MAS,8.40,DX 해금곡,,"동시밟기
+
고속 DK",,鬼は内　外の福,FUZZ-UP,MAS,8.60,"해금곡
(현재
이벤트)",,,,,,,,
,동시밟기,,テレキャスタービーボーイ,FUZZ-UP,MAS,7.10,,,"동시밟기
+
DK",,閉塞的フレーション,GALAXY WAVE,MAS,8.10,"해금곡
(현재
불가)",,동시밟기,,Harmonia,FUZZ-UP,MAS,8.20,,,"동시밟기
+
중간 DK",,Beep Beep Inside,FUZZ-UP,MAS,8.50,,,,,,,,,
,"동시밟기
+
정박 왼발",,ロマンティックのかけら,FUZZ-UP,MAS,7.30,,,동시밟기,,ここからよろしく大作戦143,NEX+AGE,MAS,7.95,,,동시밟기,,月下美人,GALAXY WAVE,MAS,8.30,,,동시밟기,,KHAMEN BREAK,OverDrive,EXT,8.55,,,,,,,,,
,"정박 왼발
+
동시밟기",,どきドキ バレンタイン,Tri-Boost,MAS,7.15,,,동시밟기,,Let's Dance,EXCHAIN,EXT,8.00,DX 해금곡,,동시밟기,,エゴロック,GALAXY WAVE,MAS,8.30,,,"동시밟기
+
4비트
왼발",,Just Believe,Tri-Boost,MAS,8.55,,,,,,,,,
,동시밟기,,Dance the Night Away,ee'MALL,MAS,6.60,,,,,,,,,,,동시밟기,,ラビットホール,"GALAXY WAVE
& DELTA",MAS,8.45,,,"동시밟기
+
복합패턴",,アイドル,GALAXY WAVE,MAS,8.70,,,,,,,,,
,동시밟기,,グッバイ宣言,FUZZ-UP,MAS,7.00,,,동시밟기,,パレットナイトフロウ,FUZZ-UP,MAS,7.50,,,"동시밟기
+
4비트
왼발",,Behind the song of stars,FUZZ-UP,MAS,8.30,"해금곡
(현재
해금이벤트)",,"동시밟기
+
8비트
왼발",,おこめごころ,GALAXY WAVE,MAS,8.50,,,,,,,,,
뚜벅이,뚜벅이,,温故知新でいこっ！,OverDrive,MAS,6.65,,▶,뚜벅이,,とびっきりのふわっふわ,Tri-Boost,MAS,7.15,,▶,뚜벅이,,ギタ・ドラ・jubeat大夏祭りのテーマ,XG3,EXT,8.15,,▶,뚜벅이,,三毛猫ロックンロール,GITADORA,EXT,8.40,,"▶
(선택)",뚜벅이,,双つ雲と暁の奏,XG3,EXT,8.85,
,뚜벅이,,とびきりシュガータイム,Matixx,EXT,7.10,,,뚜벅이,,Run through life,HIGH-VOLTAGE,EXT,7.20,DX 해금곡,,뚜벅이,,Fly far bounce,"Tri-Boost
Re:EVOLVE",MAS,8.15,,,"DK인데
그냥
뚜벅이라
하자",,triangulum,Matixx,EXT,8.40,DX 해금곡,,뚜벅이,,Run through life,HIGH-VOLTAGE,MAS,8.90,DX 해금곡
,"정박 왼발
+
뚜벅이",,Butterfly Effect,Tri-Boost,MAS,7.15,,,"뚜벅이
(느린DK)",,夕星の芒野と消ゆ,Tri-Boost,MAS,7.45,,,"뚜벅이
+
엇박 왼발",,デッドボヲルdeホームラン,GITADORA,EXT,7.90,,,"DK인데
그냥
뚜벅이라
하자",,Cinnamon,Matixx,EXT,8.75,DX 해금곡,,뚜벅이..?,,O JIYA,6thMIX,EXT,9.05,
,"정박 왼발
+
뚜벅이",,Sense of the Scamper,Tri-Boost,MAS,7.05,,,"뚜벅이
같은
DK",,XIII,Matixx,EXT,7.30,,,"뚜벅이
+
16비트
엇박",,真っ白な闇がすべてを塗り替えても,FUZZ-UP,EXT,8.00,,,"DK인데
그냥
뚜벅이라
하자",,Devil Fish Dumpling,XG3,MAS,8.85,,,뚜벅이,,Agnus Dei,9thMIX,MAS,8.90,
,"DK인데
그냥
뚜벅이라
하자",,お米の美味しい炊き方、そしてお米を食べることによるその効果。,GITADORA,ADV,6.20,,,"뚜벅이
+
정박 왼발",,SIX DIMENSION,XG2,ADV,7.30,,,"뚜벅이
+
엇박",,林檎と蜂蜜,8thMIX,EXT,7.30,,,,,,,,,,,,,,,,,
,▼ 위의 연습곡을 대부분 경험해 본 뒤에 아래 연습곡들을 추천,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
